Table,Column,Type,Nullable,Key,Default,Extra,Description,JoinTo
opportunities,id,char(36),NO,PRI,,,PK сделки,
opportunities,name,varchar(100),YES,MUL,,,,
opportunities,date_entered,datetime,YES,MUL,,,,
opportunities,date_modified,datetime,YES,,,,,
opportunities,modified_user_id,char(36),YES,,,,,
opportunities,created_by,char(36),YES,MUL,,,,
opportunities,description,text,YES,,,,,
opportunities,deleted,tinyint(1),YES,,0,,,
opportunities,assigned_user_id,char(36),YES,MUL,,,Менеджер,users.id
opportunities,opportunity_type,varchar(255),YES,MUL,,,,
opportunities,account_id,char(36),YES,MUL,,,Клиент,accounts.id
opportunities,campaign_id,char(36),YES,,,,,
opportunities,lead_source,varchar(50),YES,,,,,
opportunities,amount,double,YES,,,,Сумма с НДС,
opportunities,amount_usdollar,double,YES,,,,,
opportunities,currency_id,char(36),YES,,,,,
opportunities,date_closed,date,YES,MUL,,,Дата закрытия,
opportunities,next_step,varchar(100),YES,,,,,
opportunities,sales_stage,varchar(25),YES,MUL,,,Статус: Closed Won/Shipment expectation/Order send,
opportunities,probability,double,YES,,,,,
opportunities,payment_status,varchar(255),YES,,,,,
opportunities,denial_reason,varchar(255),YES,,,,,
opportunities,invoice_num,varchar(20),YES,,,,,
opportunities,businessprocess_id,char(36),YES,,,,,
opportunities,onec_id,varchar(50),YES,MUL,,,,
opportunities,onec_sync_status,varchar(50),YES,MUL,,,,
opportunities,onec_sync_date,datetime,YES,MUL,,,,
opportunities,onec_sync_error,varchar(255),YES,,,,,
opportunities,seller_id,char(36),YES,,,,,
opportunities,amount_discount,double,YES,,,,,
opportunities,warehouse_onec_id,varchar(255),YES,MUL,,,,
opportunities,vat_included,tinyint(1),YES,,1,,,
opportunities,vat_enabled,tinyint(1),YES,,1,,,
opportunities,date_agreement,date,YES,,,,,
opportunities,date_act,date,YES,MUL,,,,
opportunities,period,varchar(100),YES,,"14 дней, (2 недели)",,,
opportunities,auto_calculation,tinyint(1),YES,,0,,,
opportunities,amount_net,double,YES,,,,,
